DTXSID_combined,Formula,Mass,Name,NumSpectra
DTXSID9048140,C14H19N4,243.160972,Amprolium,3.0
DTXSID80331400,C7H14N2O3,174.100442,N2-Acetyl-L-ornithine,5.0
DTXSID80274484,C12H12NO3,218.081718,Cotarnine,3.0
DTXSID8023343,C21H22N2O5S,414.124943,Nafcillin,6.0
DTXSID8023004,C23H32O3,356.235145,Estradiol valerate,3.0
DTXSID70884339,C9H11N,133.089149,2-Methylindoline,2.0
DTXSID7061192,C11H11NO2,189.078979,3-Indolepropionic acid,3.0
DTXSID7048459,C14H21ClN2O3S,332.096141,Tosyllysine Chloromethyl Ketone,6.0
DTXSID7046960,C15H11NO3,253.07389,Furegrelate,6.0
DTXSID7046122,C23H29F3O6,458.191623,Fluprostenol,3.0
DTXSID70391336,C42H83NO3,649.637296,Lignoceric Ceramide,3.0
DTXSID70390602,C20H32O4,336.23006,Hepoxilin B3,1.0
DTXSID70331398,C3H7O6P,169.998024,glyceraldehyde-3-phosphate,3.0
DTXSID7023229,C18H18ClN3O,327.11384,Loxapine,3.0
DTXSID7023146,C6H12O6,180.063388,myo-Inositol,5.0
DTXSID7022706,C13H18ClNO,239.107692,Bupropion,3.0
DTXSID7022627,C23H30ClN3O,399.20774,Quinacrine,3.0
DTXSID70223264,C18H14O8,358.068867,Psoromic Acid,3.0
DTXSID70202175,C5H8O,84.057515,4-pentyn-1-ol,2.0
DTXSID70172647,C6H13NO4,163.084458,1-Deoxynojirimycin,3.0
DTXSID6048755,C21H22O10,434.121297,Aloin,3.0
DTXSID6046000,C24H40N2,356.319149,Conessine,3.0
DTXSID6043913,C11H10N4O4,262.070205,Carbadox,3.0
DTXSID6040747,C21H30O3,330.219495,17-Hydroxyprogesterone,3.0
DTXSID6040404,C20H28O2,300.20893,9-cis-Retinoic acid,2.0
DTXSID6036758,C8H18N4O2,202.142976,ADMA,3.0
DTXSID6020357,C9H11N3O4,225.074956,Ancitabine,3.0
DTXSID60197021,C13H10O2,198.06808,Splitomicin,3.0
DTXSID50861587,C7H14N2O4S,222.067428,Cystathionine,3.0
DTXSID5058773,C8H11N,121.089149,Phenylethylamine,3.0
DTXSID5048473,C23H25N,315.1987,Fendiline,3.0
DTXSID5045673,C16H22N2O3,290.163043,Procaterol,6.0
DTXSID5040960,C17H14N2O3,294.100442,AG-490,3.0
DTXSID5022726,C22H30O4,358.214409,Canrenoate,3.0
DTXSID40862265,C5H8O5,148.037173,Citramalic acid,6.0
DTXSID40332211,C5H12N4O3,176.09094,nor-NOHA,5.0
DTXSID4023208,C7H16NO3,162.113018,L-Carnitine,3.0
DTXSID30891483,C12H15N,173.120449,N-Desmethylselegiline,3.0
DTXSID3063461,C6H8O4,144.042259,3-hexenedioic acid,3.0
DTXSID3048495,C18H20FN5O4,389.149932,Gemifloxacin,3.0
DTXSID3045855,C8H15NO6,221.089937,N-Acetyl-D-glucosamine,3.0
DTXSID30232534,C14H14N3,224.118772,Acriflavinium,3.0
DTXSID3022798,C11H12ClNO3S,273.022642,Chlormezanone,5.0
DTXSID20874669,C15H17N5O5,347.122969,Kinetin Riboside,3.0
DTXSID2023721,C41H67NO15,813.45107,Oleandomycin triacetate,3.0
DTXSID10883240,C9H8O3,164.047344,o-Coumaric acid,3.0
DTXSID10876697,C12H10N2O,198.079313,Harmol,2.0
DTXSID1045958,C25H34N2O3,410.256943,Tilorone,3.0
DTXSID1045534,C24H31FO6,434.210467,Flunisolide,2.0
DTXSID1044144,C7H9N2O,137.071488,Pralidoxime,3.0
DTXSID10415742,C6H8O7,192.027003,Isocitric acid,2.0
DTXSID1037648,C6H12O5,164.068473,6-Deoxy-D-Glucose,3.0
DTXSID1022421,C13H16N2O2,232.121178,Melatonin,3.0
DTXSID10180589,C5H11NO3,133.073893,"1,4-Dideoxy-1,4-Imino-D-Arabinitol",3.0
DTXSID00893777,C40H52O4,596.38656,Astaxanthin,3.0
DTXSID00872623,C6H13O10P,276.024633,6-Phosphogluconic acid,2.0
DTXSID0049026,C8H10N2O4,198.064057,Mimosine,6.0
DTXSID0045204,C20H14NO4,332.09228,Sanguinarine,3.0
DTXSID0030956,C20H16N2O4,348.111007,Camptothecin,6.0
DTXSID0023373,C18H20N2O6,360.132136,Nitrendipine,6.0
DTXSID0023086,C31H48O6,516.345089,Fusidic acid,3.0
DTXSID00227659,C5H11O7P,214.024239,2-Deoxyribose 5-phosphate,3.0
